Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0JGuSgtmWyfuxLGBs2wX0C,"Physical Education","The Joy of Motion","Animals As Leaders",2014-03-25,280955,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:23Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.57,0.945,1,-5.665,0,0.0567,0.00017,0.827,0.0543,0.53,114.987,4
spotify:track:1ZfnGTUnha3QHj3KFmub0W,"Cafo","Animals as Leaders","Animals As Leaders",2009-04-28,401120,47,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:26Z,"djent,progressive metal,math rock,progressive rock,metal","Prosthetic",0.399,0.94,4,-6.686,1,0.0915,0.000017,0.815,0.348,0.132,154.999,3
spotify:track:7cO6rxZSi7Ura92FtspKaf,"The Brain Dance","The Madness Of Many","Animals As Leaders",2016-11-11,420746,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:29Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.356,0.811,8,-8.069,0,0.0447,0.0355,0.811,0.116,0.334,102.898,4
spotify:track:4j6ascTxs21rACPdPpqFQN,"The Woven Web","The Joy of Motion","Animals As Leaders",2014-03-25,247780,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:32Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.549,0.935,6,-5.692,0,0.0518,0.00656,0.775,0.0641,0.341,118.016,4
spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez,"Kascade","The Joy of Motion","Animals As Leaders",2014-03-25,323728,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:37Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.472,0.979,6,-4.386,0,0.181,0.00577,0.814,0.286,0.25,159.969,3
spotify:track:43kvE0evfgiatOSth0XyFa,"Tooth and Claw","The Joy of Motion","Animals As Leaders",2014-03-25,263206,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:41Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.277,0.967,7,-4.796,1,0.202,0.000546,0.834,0.354,0.253,150.037,4
spotify:track:6TusaYvpkgyJhJ8tvXo03P,"An Infinite Regression","Weightless","Animals As Leaders",2011-11-08,205853,37,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:45Z,"djent,progressive metal,math rock,progressive rock,metal","Prosthetic",0.404,0.903,2,-6.237,1,0.108,0.000123,0.812,0.138,0.352,131.768,5
spotify:track:2iG3f8JUFgLIVddPlP1zap,"Ectogenesis","The Madness Of Many","Animals As Leaders",2016-11-11,295693,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:49Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.626,0.87,1,-7.4,1,0.044,0.0000525,0.864,0.0933,0.594,118.007,4
spotify:track:3JHeDGTzb8RndNpq2MGclj,"Arithmophobia","The Madness Of Many","Animals As Leaders",2016-11-11,361013,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:24:56Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.308,0.962,11,-5.923,0,0.0732,0.0000588,0.843,0.141,0.38,112.681,4
spotify:track:6791xRWIf9DWEudbE7cg9v,"Another Year","The Joy of Motion","Animals As Leaders",2014-03-25,230934,0,false,yuf8m40bafql87jwxb236yybx,2021-07-25T13:25:00Z,"djent,progressive metal,math rock,progressive rock,metal","Sumerian Records",0.398,0.866,1,-6.075,0,0.0442,0.0282,0.861,0.0961,0.258,130.041,4
