Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4U45aEWtQhrm8A5mxPaFZ7,"Vienna","The Stranger (Legacy Edition)","Billy Joel",1977,214240,84,false,yuf8m40bafql87jwxb236yybx,2019-10-05T15:38:04Z,"soft rock","Columbia/Legacy",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
spotify:track:3Cx4yrFaX8CeHwBMReOWXI,"We Didn't Start the Fire","Storm Front","Billy Joel",1989-10-17,291100,78,false,yuf8m40bafql87jwxb236yybx,2019-10-05T15:38:04Z,"soft rock","Columbia",0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4
spotify:track:5zA8vzDGqPl2AzZkEYQGKh,"Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,198294,83,false,yuf8m40bafql87jwxb236yybx,2019-10-05T15:38:04Z,"soft rock","Columbia",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
spotify:track:70C4NyhjD5OZUMzvWZ3njJ,"Piano Man","Piano Man (Legacy Edition)","Billy Joel",1973-11-07,339000,85,false,yuf8m40bafql87jwxb236yybx,2019-10-05T15:38:04Z,"soft rock","Columbia/Legacy",0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
spotify:track:5DH7nDryMhpixm4G4B7RP9,"The Longest Time","An Innocent Man","Billy Joel",1983-08-08,223176,67,false,yuf8m40bafql87jwxb236yybx,2019-10-06T15:29:22Z,"soft rock","Columbia",0.637,0.333,3,-9.603,1,0.0262,0.181,0,0.147,0.588,84.347,4
spotify:track:1xOXXYh6lTW8laxlW7JP2J,"Only the Good Die Young","The Stranger (Legacy Edition)","Billy Joel",1977,235560,68,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:18Z,"soft rock","Columbia/Legacy",0.579,0.872,0,-6.126,1,0.159,0.159,0,0.0935,0.761,76.214,4
spotify:track:5RgFlk1fcClZd0Y4SGYhqH,"She's Always a Woman","The Stranger (Legacy Edition)","Billy Joel",1977,201373,80,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:19Z,"soft rock","Columbia/Legacy",0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,3
spotify:track:16GUMo6u3D2qo9a19AkYct,"Movin' Out (Anthony's Song)","The Stranger (Legacy Edition)","Billy Joel",1977,210760,70,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:21Z,"soft rock","Columbia/Legacy",0.664,0.88,2,-5.009,0,0.0326,0.465,0.0000163,0.0591,0.895,133.898,4
spotify:track:64UioB4Nmwgn2f4cbIpAkl,"It's Still Rock and Roll to Me","Glass Houses","Billy Joel",1980-03-12,177597,70,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:22Z,"soft rock","Columbia",0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,4
spotify:track:7gMOe0gXYcELUoVugfMmHP,"You May Be Right","Glass Houses","Billy Joel",1980-03-12,256372,63,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:34Z,"soft rock","Columbia",0.567,0.945,9,-7.243,1,0.0458,0.175,0.0000026,0.35,0.961,150.792,4
spotify:track:4ZoBC5MhSEzuknIgAkBaoT,"My Life","52nd Street","Billy Joel",1978-10-13,285009,78,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:36Z,"soft rock","Columbia",0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,4
spotify:track:6yjKlmm7vOszkXEUku1EM1,"New York State of Mind","Turnstiles","Billy Joel",1976-05-19,363286,66,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:38Z,"soft rock","Columbia",0.506,0.373,0,-9.473,1,0.0347,0.499,0.0000405,0.323,0.194,121.289,4
spotify:track:60m29Z8TtocKOqDlQEbwUS,"The Entertainer","Streetlife Serenade","Billy Joel",1974-10-11,220972,52,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:49Z,"soft rock","Legacy/CBS/Sony",0.611,0.912,0,-6.775,1,0.0398,0.105,0,0.117,0.77,101.307,4
spotify:track:6g4vHtdGqD5eEgpf7nKISk,"Don't Ask Me Why","Glass Houses","Billy Joel",1980-03-12,179448,57,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:29:56Z,"soft rock","Columbia",0.691,0.726,5,-7.353,1,0.0543,0.138,0,0.11,0.868,98.418,4
spotify:track:49MHCPzvMLXhRjDantBMVH,"Just the Way You Are","The Stranger (Legacy Edition)","Billy Joel",1977,290573,75,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:30:04Z,"soft rock","Columbia/Legacy",0.589,0.453,7,-8.912,1,0.0397,0.703,0.0000254,0.134,0.513,139.148,4
spotify:track:22wxe2Yc9JzihICXYLGAQ7,"Big Shot","52nd Street","Billy Joel",1978-10-13,243892,58,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:30:12Z,"soft rock","Columbia",0.52,0.737,0,-11.715,1,0.0972,0.156,0.00000755,0.0866,0.728,149.861,4
spotify:track:6kCJMxv445L2okuTiou1fR,"Tell Her About It","An Innocent Man","Billy Joel",1983-08-08,235748,60,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:30:17Z,"soft rock","Columbia",0.565,0.894,8,-5.241,1,0.175,0.00777,0,0.49,0.737,182.262,4
spotify:track:3LqvmDtXWXjF7fg8mh8iZh,"Pressure","The Nylon Curtain","Billy Joel",1982-06-23,281184,56,false,yuf8m40bafql87jwxb236yybx,2019-10-09T18:30:29Z,"soft rock","Columbia",0.548,0.68,9,-8.675,0,0.0474,0.0148,0.000949,0.0877,0.851,148.494,4
