Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:16GUMo6u3D2qo9a19AkYct,"Movin' Out (Anthony's Song)","The Stranger (Legacy Edition)","Billy Joel",1977,210760,70,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"soft rock","Columbia/Legacy",0.664,0.88,2,-5.009,0,0.0326,0.465,0.0000163,0.0591,0.895,133.898,4
spotify:track:2gdTkM0hL9KQipAx6aUT6L,"Terrapin Station Medley - 2014 Remaster","Terrapin Station (2014 Remaster)","Grateful Dead",1977,982005,41,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"jam band,psychedelic rock,acid rock","Grateful Dead/Rhino",0.454,0.374,7,-14.887,1,0.0406,0.232,0.0242,0.148,0.435,140.01,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,87,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:0qemIQjSxcKyf42VPfZnfa,"Night Fever - From ""Saturday Night Fever"" Soundtrack","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,212800,63,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"disco","UME - Global Clearing House",0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,4
spotify:track:2tVQhBSJ1SQtb4gX0taaiR,"Jessica","Dreams","Allman Brothers Band",1989-06-20,450600,49,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"southern rock,classic rock,blues rock,country rock,jam band","Mercury Records",0.345,0.745,2,-11.021,1,0.0327,0.365,0.735,0.19,0.879,105.058,4
spotify:track:2Wf4IsWzhBgVR9uUDuktFB,"All Right Now","Fire And Water","Free",1970,338426,51,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,blues rock","UMC (Universal Music Catalogue)",0.785,0.481,2,-11.323,1,0.101,0.0062,0.00000238,0.122,0.77,119.937,4
spotify:track:7iN1s7xHE4ifF5povM6A48,"Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,79,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,psychedelic rock","EMI Catalogue",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
spotify:track:2kkvB3RNRzwjFdGhaUA0tz,"Layla","Layla And Other Assorted Love Songs (Remastered 2010)","Derek & The Dominos",1970-11-01,423840,75,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"blues rock,classic rock","Universal Music Group International",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4
spotify:track:4DMKwE2E2iYDKY01C335Uw,"Carry on Wayward Son","Leftoverture (Expanded Edition)","Kansas",1976,323000,78,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,progressive rock,aor","Epic/Legacy",0.482,0.786,7,-5.735,1,0.032,0.00321,0.0000888,0.446,0.793,126.755,4
spotify:track:2RNd6VgxG19db0zs0M1C4Z,"Jane","Freedom At Point Zero","Jefferson Starship",1979-11-01,252200,62,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"yacht rock,aor,classic rock","Rhino",0.589,0.82,2,-9.602,1,0.0369,0.204,0.018,0.423,0.788,117.305,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,89,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:1Pd1h30mgU05QkWYhgFzwt,"Turn to Stone","Out of the Blue","Electric Light Orchestra",1977,229304,63,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"art rock,soft rock","Epic/Legacy",0.548,0.72,1,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,4
spotify:track:4cIPLtg1avt2Jm3ne9S1zy,"Killer Queen - Remastered 2011","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","Queen",1974-11-08,179600,75,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,rock,glam rock","EMI",0.535,0.651,10,-6.326,1,0.0544,0.391,0,0.133,0.612,117.218,4
spotify:track:2ymeOsYijJz09LfKw3yM2x,"Joy To The World","Naturally","Three Dog Night",1970-01-01,220573,63,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"","Geffen*",0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,4
spotify:track:7Me0vOSlJfaPY7Pc4GeItd,"Marquee Moon","Marquee Moon","Television",1977-02-08,638426,52,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"proto-punk,post-punk,art rock,new wave","Elektra Records",0.49,0.536,7,-10.83,1,0.0382,0.0391,0.371,0.116,0.732,118.008,4
spotify:track:36gPq8WG7tDxrblyGVUCiT,"Up Around The Bend","Cosmo's Factory (Expanded Edition)","Creedence Clearwater Revival",1970-07-25,161466,63,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,southern rock,country rock","Craft Recordings",0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,130.318,4
spotify:track:40riOy7x9W7GXjyGp4pjAv,"Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,85,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
spotify:track:6xMHglHoafdDFGXS6qfwSH,"Hot Blooded","Double Vision (Expanded)","Foreigner",1978,268693,67,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"aor,classic rock","Rhino Atlantic",0.705,0.806,0,-4.83,1,0.0814,0.229,0,0.0676,0.763,117.945,4
spotify:track:6PT7wUJefYPEU1lX1lcLRJ,"Doing All Right - Remastered 2011","Queen (2011 Remaster)","Queen",1973-07-13,249213,42,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,rock,glam rock","EMI",0.339,0.286,9,-12.334,1,0.0344,0.752,0.0000271,0.085,0.192,93.013,4
spotify:track:1H4idkmruFoJBg1DvUv2tY,"Band On The Run - 2010 Remaster","Band On The Run","Paul McCartney;Wings",1973-12-05,313026,71,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"","Paul McCartney Catalog",0.479,0.601,7,-8.806,1,0.0319,0.0823,0.00141,0.111,0.669,124.966,4
spotify:track:19Shlms2uTnOjIUg50TXzd,"Never Going Back Again - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,134400,72,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083,4
spotify:track:4U45aEWtQhrm8A5mxPaFZ7,"Vienna","The Stranger (Legacy Edition)","Billy Joel",1977,214240,84,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"soft rock","Columbia/Legacy",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
spotify:track:7oOOI85fVQvVnK5ynNMdW7,"Rock with You - Single Version","Off the Wall","Michael Jackson",1979-08-10,219926,82,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"","Epic",0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,4
spotify:track:3cw3Z7mS55gd3NUjh4k0bL,"Sweet Jane - Full Length Version; 2015 Remaster","Loaded: Re-Loaded 45th Anniversary Edition","The Velvet Underground",1970,246306,53,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:27Z,"proto-punk,art rock","Rhino Atlantic",0.619,0.637,2,-7.369,1,0.0286,0.015,0,0.374,0.936,105.205,4
