Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7f3qohdiOVRdFo4bCgm0zp,"-!-","-!- (Deluxe)","Dead Poet Society",2022-10-14,33946,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.601,0.276,6,-19.172,1,0.561,0.8,0,0.522,0.577,95.128,4
spotify:track:4vMtYfPO0SPHgo2BZhss4g,".futureofwar.","-!- (Deluxe)","Dead Poet Society",2022-10-14,110906,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.295,0.705,0,-7.172,1,0.16,0.0000719,0.875,0.12,0.159,147.874,4
spotify:track:2dbjUvOVNw2OxAy97qJvTA,".burymewhole.","-!- (Deluxe)","Dead Poet Society",2022-10-14,187920,0,true,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.433,0.73,0,-6.752,1,0.0373,0.000124,0.0227,0.106,0.418,118.22,4
spotify:track:4mEgRF2tLZNlleVGtI224y,".getawayfortheweekend.","-!- (Deluxe)","Dead Poet Society",2022-10-14,218733,0,true,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.472,0.859,0,-6.551,0,0.0465,0.0000409,0.0364,0.148,0.315,145.937,4
spotify:track:3nix1IkaJrbSVOyACE8C3H,".AmericanBlood.","-!- (Deluxe)","Dead Poet Society",2022-10-14,184320,0,true,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.615,0.708,2,-8.097,0,0.031,0.000709,0.00175,0.122,0.578,118.092,4
spotify:track:1HJhQSp21wAzjH14UMWrZB,".intoodeep.","-!- (Deluxe)","Dead Poet Society",2022-10-14,219906,0,true,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.592,0.674,8,-6.26,1,0.0417,0.00039,0.0000126,0.354,0.499,124.928,4
spotify:track:7fmv6tWNizTdqsJQRCZXVA,".georgia.","-!- (Deluxe)","Dead Poet Society",2022-10-14,202933,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.222,0.701,5,-6.038,0,0.0315,0.00023,0.0804,0.377,0.491,90.954,1
spotify:track:1MKrhkEj5lRFNJYJchifG2,"-JU-","-!- (Deluxe)","Dead Poet Society",2022-10-14,47093,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.708,0.0936,4,-22.191,1,0.698,0.0698,0,0.176,0.9,98.472,3
spotify:track:2QivE921Gj0ePnTpowH0aC,"I Never Loved Myself Like I Loved You","-!- (Deluxe)","Dead Poet Society",2022-10-14,261680,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.53,0.97,9,-6.248,0,0.0675,0.00354,0.0875,0.356,0.158,111.881,4
spotify:track:5kONI8T1Mlt3zjXY4oZuuT,".CoDA.","-!- (Deluxe)","Dead Poet Society",2022-10-14,224306,0,true,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.56,0.623,8,-5.613,1,0.0407,0.00109,0.000303,0.32,0.479,119.88,4
spotify:track:7KtyQDmmY7tHRyl0gkPOgP,".loveyoulikethat.","-!- (Deluxe)","Dead Poet Society",2022-10-14,219333,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.191,0.776,9,-5.962,1,0.0504,0.0000668,0.157,0.201,0.266,181.464,3
spotify:track:7rn2Cm2VIxqxEDUpILSfUF,"-gopi-","-!- (Deluxe)","Dead Poet Society",2022-10-14,46426,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.633,0.306,3,-21.704,0,0.91,0.892,0,0.86,0.377,83.754,1
spotify:track:44ZEmhTfO7TBw9h7Y0Ggga,".beenherebefore.","-!- (Deluxe)","Dead Poet Society",2022-10-14,268426,0,false,yuf8m40bafql87jwxb236yybx,2022-12-16T18:08:09Z,"","Dead Poet Society",0.441,0.804,0,-6.089,1,0.0419,0.0000294,0.00000653,0.403,0.567,141.863,4
