Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Uu5tdc6CUll2vQhkeC4f7,"California Dreamin'","Dirty Honey","Dirty Honey",2021-04-23,258333,39,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.458,0.98,1,-3.651,1,0.0808,0.000205,0.0000629,0.127,0.4,118.964,4
spotify:track:2jDgvn31FTHSYgTMavDv3v,"The Wire","Dirty Honey","Dirty Honey",2021-04-23,185120,37,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.389,0.894,8,-4.237,1,0.0873,0.000621,0.000223,0.429,0.691,184.101,4
spotify:track:7xSssFX988jpphgyqvu3gq,"Tied Up","Dirty Honey","Dirty Honey",2021-04-23,212973,33,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.445,0.947,8,-3.56,1,0.0888,0.00138,0.0000265,0.329,0.588,94.856,4
spotify:track:0rVbRGSJJnAnQCrhtFeEGW,"Take My Hand","Dirty Honey","Dirty Honey",2021-04-23,185493,26,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.401,0.932,5,-4.784,0,0.0762,0.00141,0.00127,0.145,0.671,181.997,4
spotify:track:7qTiSA7yPJm0C39yivkqwP,"Gypsy","Dirty Honey","Dirty Honey",2021-04-23,252466,31,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.365,0.899,1,-3.442,1,0.0658,0.000463,0.0338,0.0594,0.603,164.005,4
spotify:track:2xubl6RmW9JgSTL74lzZH3,"No Warning","Dirty Honey","Dirty Honey",2021-04-23,187240,29,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.443,0.897,1,-4.216,1,0.0443,0.000782,0.0039,0.058,0.696,172.037,4
spotify:track:6GigLnXmSdQwjpAI06aoPp,"The Morning","Dirty Honey","Dirty Honey",2021-04-23,207826,26,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.574,0.918,1,-4.119,1,0.0631,0.00116,0.000643,0.0858,0.634,127.026,4
spotify:track:3IzeRtUTIeMMHYxWpjEm4P,"Another Last Time","Dirty Honey","Dirty Honey",2021-04-23,290266,42,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:16Z,"","Dirt Records",0.414,0.835,3,-3.319,1,0.0373,0.00218,0.0000216,0.0819,0.453,75.97,4
spotify:track:7mVYYM1jFHP5d5ygTgjrf6,"When I'm Gone","Dirty Honey","Dirty Honey",2019-03-22,205090,51,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.445,0.917,1,-3.17,1,0.0512,0.000294,0.000463,0.118,0.582,90.979,4
spotify:track:7uHw1z0wMpgvgiDiNy6RJE,"Rolling 7s","Dirty Honey","Dirty Honey",2019-03-22,255193,48,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.582,0.764,10,-4.556,0,0.0334,0.000943,0.0133,0.109,0.406,95.103,4
spotify:track:0U1z9sNmYhH1XiyDKnxvRh,"Heartbreaker","Dirty Honey","Dirty Honey",2019-03-22,228781,38,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.584,0.794,8,-4.313,1,0.04,0.000795,0.00000654,0.0836,0.435,122.034,4
spotify:track:6lptWmEa2Dt4xFTohVV4FN,"Down the Road","Dirty Honey","Dirty Honey",2019-03-22,272305,35,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.264,0.652,8,-4.613,1,0.0387,0.000188,0.00056,0.117,0.493,124.864,3
spotify:track:2YjwSsBfNZT42heiCUx29A,"Scars","Dirty Honey","Dirty Honey",2019-03-22,255424,33,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.416,0.894,10,-3.961,0,0.0568,0.00276,0.000362,0.112,0.501,158.067,4
spotify:track:3PDb5McHzA6IdMYbjkAIoC,"Break You","Dirty Honey","Dirty Honey",2019-03-22,197854,30,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:26Z,"","Dirty Honey",0.519,0.879,10,-2.838,0,0.0568,0.000186,0.00101,0.0838,0.636,127.984,4
spotify:track:3DmqiLnhUdE5YawCaN7qK9,"Last Child","Last Child","Dirty Honey",2021-02-05,258213,32,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:41Z,"","Dirty Honey",0.398,0.821,1,-5.045,1,0.0632,0.0019,0.0000271,0.0902,0.727,167.178,4
spotify:track:6HJqJYsIX8RkravkQPFDxy,"Fire Away","Fire Away","Dirty Honey",2018-08-08,285288,17,false,yuf8m40bafql87jwxb236yybx,2021-10-11T12:19:48Z,"","Dirty Honey",0.474,0.867,11,-7.343,0,0.0692,0.000642,0.000104,0.178,0.264,163.928,4
