Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2BguCFLlnybjX8FouFTP4o,"Club Bizarre (Club Mix)","Club Bizarre (Club Mix)","U96;Sunlike Brothers;ToneNation",2024-02-02,169376,59,false,,2025-11-16T23:43:06Z,"eurodance,happy hardcore,slap house,hypertechno","Spinnin' Records",0.679,0.936,11,-3.66,0,0.0601,0.0447,0.163,0.318,0.513,144.942,4
spotify:track:3lFNDaob5QhwE9oo7J0uNT,"Pachamama","Pachamama","Luude;Elliphant",2024-03-20,145116,60,false,,2025-11-16T05:03:40Z,"drum and bass","Intercord",0.658,0.96,1,-3.7,1,0.108,0.0675,0.00457,0.497,0.479,172.064,4
spotify:track:1LIvdWNdKmHvU0FJvw2diN,"Big City Life","Big City Life","Luude;Mattafix",2022-06-16,146711,67,false,,2025-11-16T05:03:34Z,"drum and bass","Warner Records",0.615,0.902,3,-4.316,1,0.0859,0.0176,0.0000391,0.103,0.298,87.03,4
spotify:track:7AVyve7cFYTd51ha5i9kE2,"Down Under (feat. Colin Hay)","Down Under (feat. Colin Hay)","Luude;Colin Hay",2021-11-19,158774,69,false,,2025-11-16T05:03:01Z,"drum and bass","Sweat It Out",0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,4
spotify:track:1wePo3Yb3O1byAzOH5fHB1,"DEUTSCHLAND 🇩🇪 (MIT IKKIMEL)","DEUTSCHLAND 🇩🇪 (MIT IKKIMEL)","Ski Aggu;Ikkimel",2024-06-27,158295,42,true,,2025-11-15T22:35:48Z,"german indie,german hip hop","jungeratze & Bamboo Artists",0.735,0.874,7,-6.234,1,0.0953,0.0871,0.0469,0.171,0.768,166.011,4
spotify:track:5H8YUFXX2KVAdIu4ZWCIpP,"Street Sounds","Disco House Bombs","Disco Galaxy",2008-08-01,321281,37,false,,2025-11-14T23:18:52Z,"disco house","Secret Service Records",0.725,0.833,9,-7.506,0,0.053,0.000069,0.743,0.115,0.569,129.991,4
spotify:track:7yxJh4jxHmbWZEvyP1zNdj,"Monaco '93","Monaco '93","ANGXL",2024-03-01,112340,36,false,,2025-11-07T07:11:06Z,"rally house","ANGXL",0.759,0.904,5,-7.211,0,0.0365,0.144,0.737,0.287,0.882,125.007,4
spotify:track:4mHcEo7lhHsPxUbplsXxdk,"I Don't Care About Nothing - from GRAN TURISMO 7","Find Your Line: Official Music from GRAN TURISMO 7","Major Lazer;Lous and The Yakuza",2022-03-04,174361,35,false,,2025-11-05T17:38:50Z,"moombahton","Columbia",0.638,0.808,5,-4.903,0,0.0441,0.0327,0.0000466,0.0758,0.609,95.059,4
spotify:track:1A2k31fWrVCkDh1e5ie7vb,"Alchemy","Alchemy","Rad&Co",2024-01-22,234240,52,false,,2025-11-03T18:44:59Z,"rally house,house","Replay Records",0.871,0.649,8,-9.122,0,0.0717,0.104,0.803,0.281,0.518,124.988,4
spotify:track:6KbFEsmwOTpS91hf4bx6sA,"Miami 2025","Miami 2025","D.J.F.",2025-05-23,185129,14,false,,2025-11-03T18:24:57Z,"","1233152 Records DK",0.814,0.74,1,-8.509,1,0.0863,0.00283,0.219,0.0697,0.93,130.053,4
spotify:track:12wDKbddX9bUYHd1Rl8gmu,"Not My World","Deadbeat","Tame Impala",2025-10-17,254120,73,false,,2025-10-31T00:35:18Z,"neo-psychedelic,indie","Columbia",0.648,0.847,1,-4.849,1,0.0305,0.0269,0.582,0.19,0.664,120.013,4
spotify:track:5spBtM1JzWj6TxU3hYsH7P,"Iteru","Legiones de la Oscuridad","TheOwner Ch",2025-05-10,259653,6,true,,2025-10-24T14:25:28Z,"","Base Records",0.225,0.857,5,-6.423,1,0.0776,0.0000576,0.881,0.308,0.0984,125.529,4
spotify:track:4XpyPBXq82kSneLyczFuHi,"Back 2 Back","Back 2 Back","Inlie",2023-07-16,185820,52,false,,2025-10-24T00:03:38Z,"rally house,uk garage,house","broke",0.769,0.838,6,-8.104,0,0.0939,0.0736,0.414,0.683,0.387,134.021,4
spotify:track:5QLHGv0DfpeXLNFo7SFEy1,"1979 - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,266200,80,false,,2025-10-21T19:04:17Z,"alternative rock,rock","Virgin Records",0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,78,false,,2025-10-20T16:35:45Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,84,false,,2025-10-20T14:04:29Z,"funk rock,alternative rock,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
spotify:track:0ZnFhn0pmNuv0vi29VW9Rt,"Sauce","Sauce","MAKS (FR)",2023-09-08,216374,36,false,,2025-10-20T03:50:01Z,"rally house,house","Mole Music",0.783,0.789,9,-7.908,0,0.157,0.061,0.874,0.105,0.633,124.985,4
spotify:track:07VytlABdnHKmZsr1hYdj5,"Street Player 2021 - Radio Edit","Street Player 2021 (Radio Edit)","D.J.F.;Curre",2021-12-17,192503,49,false,,2025-10-17T01:36:16Z,"","1233152 Records DK",0.77,0.844,9,-6.446,0,0.0688,0.000884,0.633,0.18,0.883,130.04,4
spotify:track:6oO7WMjD6kEvCITLbVj0mu,"Hypnotize","Hypnotize","System Of A Down",2005-11-22,189440,74,false,,2025-10-16T16:30:45Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.274,0.92,6,-4.096,1,0.0489,0.0303,0.000412,0.115,0.0397,154.016,4
spotify:track:6MGeHYLmXpbO0DkhU9jVu0,"Eatin' Good","Eatin' Good","Woodcamp",2024-09-20,221904,64,false,,2025-10-15T21:21:14Z,"rally house,house","Thrive Music",0.868,0.747,11,-9.132,0,0.053,0.142,0.34,0.0819,0.879,125.997,4
