Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0AQquaENerGps8BQmbPw14,"Big Iron","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,235733,71,false,yuf8m40bafql87jwxb236yybx,2019-12-14T16:09:34Z,"classic country,outlaw country","Columbia/Legacy",0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027,4
spotify:track:1C0kmtVhqjfm1U9mXpvyNe,"Cool Water","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,189093,50,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:36:56Z,"classic country,outlaw country","Columbia/Legacy",0.552,0.372,4,-9.782,1,0.0363,0.893,0.0000186,0.303,0.53,126.136,4
spotify:track:7tnoflnylUKY7P7WKGj4n2,"Billy The Kid","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,139066,49,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:36:56Z,"classic country,outlaw country","Columbia/Legacy",0.526,0.314,4,-10.658,1,0.059,0.678,0,0.367,0.557,159.165,3
spotify:track:66RbVtQkNBFb7BcebSkeAT,"A Hundred And Sixty Acres","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,100360,49,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:37:05Z,"classic country,outlaw country","Columbia/Legacy",0.809,0.577,7,-7.749,1,0.0423,0.878,0,0.392,0.829,121.05,4
spotify:track:4G9f3VGp9wjE49JUfg3XtO,"They're Hanging Me Tonight","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,184706,58,false,yuf8m40bafql87jwxb236yybx,2019-12-14T16:09:43Z,"classic country,outlaw country","Columbia/Legacy",0.688,0.197,5,-12.688,1,0.0399,0.799,0,0.178,0.555,104.698,4
spotify:track:7BvaaY9U5h6UdHgrK3GyPh,"The Strawberry Roan","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,203933,48,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:37:01Z,"classic country,outlaw country","Columbia/Legacy",0.535,0.416,3,-11.418,1,0.0513,0.807,0,0.152,0.727,167.339,3
spotify:track:2IsEbZRHA2GGLMR0T6bJ7t,"Streets Of Laredo","Marty Robbins' All-Time Greatest Hits","Marty Robbins",1991-08-01,166066,33,false,yuf8m40bafql87jwxb236yybx,2019-12-14T16:09:59Z,"classic country,outlaw country","Columbia Nashville",0.471,0.261,5,-10.86,1,0.0321,0.932,0,0.0852,0.362,100.719,3
spotify:track:39kqEgevkI3UxStWdR2cfR,"Five Brothers","More Gunfighter Ballads and Trail Songs","Marty Robbins",1960-07-18,131666,45,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:37:40Z,"classic country,outlaw country","Columbia Nashville Legacy",0.634,0.414,1,-12.165,1,0.0611,0.75,0,0.164,0.565,129.137,4
spotify:track:4f8hBeMXMvssn6HtFAtblo,"El Paso","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,259306,65,false,yuf8m40bafql87jwxb236yybx,2019-12-14T16:09:39Z,"classic country,outlaw country","Columbia/Legacy",0.654,0.452,2,-9.709,1,0.03,0.835,0.0000289,0.16,0.691,106.662,3
spotify:track:2HuYj0YVL65hDEQe2cKwgg,"In The Valley","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,108466,44,false,yuf8m40bafql87jwxb236yybx,2020-05-19T15:29:24Z,"classic country,outlaw country","Columbia/Legacy",0.644,0.288,11,-11.814,1,0.0293,0.933,0.00000274,0.108,0.56,89.211,3
spotify:track:62rmfpQuieSgCITPX819sR,"The Master's Call","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,185466,61,false,yuf8m40bafql87jwxb236yybx,2019-12-14T16:09:47Z,"classic country,outlaw country","Columbia/Legacy",0.693,0.387,3,-9.995,1,0.0815,0.809,0,0.117,0.56,100.738,4
spotify:track:1DvLnmJqQYtWD29uB6S8z3,"Running Gun","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,130293,53,false,yuf8m40bafql87jwxb236yybx,2020-01-07T20:36:55Z,"classic country,outlaw country","Columbia/Legacy",0.74,0.565,4,-9.483,1,0.0541,0.787,0,0.38,0.844,113.713,3
