Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,83,false,yuf8m40bafql87jwxb236yybx,2020-12-16T14:52:34Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:6wqJeItl3Vc3az4ZicSQAB,"Before I Forget","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,278600,79,false,yuf8m40bafql87jwxb236yybx,2020-12-16T14:52:41Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
spotify:track:5mpUKTdskZea0gStWzeHUZ,"Unsainted","We Are Not Your Kind","Slipknot",2019-08-09,260773,73,true,yuf8m40bafql87jwxb236yybx,2020-12-16T14:52:47Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.427,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,4
spotify:track:3RAFcUBrCNaboRXoP3S5t1,"Psychosocial","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,284120,79,false,yuf8m40bafql87jwxb236yybx,2020-12-16T14:52:55Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4
spotify:track:5hheGdf1cb4rK0FNiedCfK,"The Devil in I",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,342821,74,false,yuf8m40bafql87jwxb236yybx,2020-12-18T17:39:35Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,4
spotify:track:0fX9KPa0i9RGDI59gI90i9,"Vermilion","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,316666,67,false,yuf8m40bafql87jwxb236yybx,2021-01-08T22:13:09Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.219,0.989,11,-2.962,0,0.16,0.00421,0.0156,0.375,0.149,168.069,3
spotify:track:0O7lENhqOySbsL743G7PqD,"Vermilion, Pt. 2","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,224320,69,false,yuf8m40bafql87jwxb236yybx,2020-12-18T17:39:49Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,3
spotify:track:3RptaQ5Xb8WvtpItZ2f9Hi,"Snuff","All Hope Is Gone","Slipknot",2008-08-22,276146,67,false,yuf8m40bafql87jwxb236yybx,2020-12-18T17:39:56Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,4
spotify:track:0HAr4QR1xI8nwC7VfzYidu,"Dead Memories","All Hope Is Gone","Slipknot",2008-08-22,268586,59,false,yuf8m40bafql87jwxb236yybx,2020-12-18T17:40:03Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.547,0.963,4,-2.337,0,0.0744,0.000443,0.0251,0.353,0.441,130.061,4
spotify:track:2gscB6kDOmrv1P6qs2KXE3,"Wait and Bleed","Slipknot (10th Anniversary Edition)","Slipknot",2009-09-09,147840,67,false,yuf8m40bafql87jwxb236yybx,2020-12-18T17:40:07Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.382,0.996,7,-4.119,1,0.104,0.00208,0,0.417,0.327,93.345,4
spotify:track:56fiFTRrSiHHH3gBeaTg2P,"Nero Forte","We Are Not Your Kind","Slipknot",2019-08-09,315177,72,true,yuf8m40bafql87jwxb236yybx,2020-12-18T17:40:17Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.336,0.978,7,-2.358,1,0.0846,0.000437,0.000525,0.138,0.496,129.842,4
spotify:track:5frNnyWkKzKdiKPLhkdY9L,"Vendetta","All Hope Is Gone","Slipknot",2008-08-22,315506,52,true,yuf8m40bafql87jwxb236yybx,2020-12-19T20:33:05Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.338,0.974,2,-2.426,1,0.0648,0.00017,0.00104,0.0271,0.459,135.472,4
