Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3NMel0L1RZfekf2wLABmj2,"Wolf Totem (feat. Jacoby Shaddix of Papa Roach)","Wolf Totem (feat. Jacoby Shaddix of Papa Roach)","The HU;Jacoby Shaddix;Papa Roach",2019-12-13,317077,0,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:29Z,"folk metal,nu metal,rap metal,alternative metal,rap rock,rock","Better Noise Music",0.344,0.895,8,-3.846,1,0.0631,0.0216,0.000246,0.661,0.677,172.392,4
spotify:track:7dH9Qnbb7pwDahy1Vb9ZQa,"Yuve Yuve Yu","The Gereg","The HU",2019-09-13,282920,0,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:33Z,"folk metal","Eleven Seven Music",0.624,0.857,10,-6.25,0,0.0542,0.0208,0.206,0.11,0.324,131.926,4
spotify:track:5hISmTJXBXdOes4htbUhGk,"Wolf Totem","The Gereg","The HU",2019-09-13,338000,1,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:37Z,"folk metal","Eleven Seven Music",0.557,0.718,8,-8.504,1,0.0415,0.0888,0.0511,0.661,0.49,172.039,4
spotify:track:4ZQP4RH4dhYVpwTqTqnYrE,"The Great Chinggis Khaan","The Gereg","The HU",2019-09-13,272447,0,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:44Z,"folk metal","Eleven Seven Music",0.426,0.535,8,-10.217,1,0.0356,0.0451,0.224,0.0729,0.104,177.029,3
spotify:track:2yKgGAUZNrZf2UR5BEOqGy,"Shoog Shoog","The Gereg","The HU",2019-09-13,241293,0,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:51Z,"folk metal","Eleven Seven Music",0.71,0.619,1,-8.833,1,0.034,0.0125,0.685,0.642,0.763,125.006,4
spotify:track:0q8qLv0DTVWKkOS0R510Pg,"The Legend of Mother Swan","The Gereg","The HU",2019-09-13,325226,0,false,yuf8m40bafql87jwxb236yybx,2020-03-18T16:17:58Z,"folk metal","Eleven Seven Music",0.563,0.66,8,-9.3,1,0.0285,0.0237,0.347,0.118,0.375,167.042,4
spotify:track:3T6W3kDyjnVqULUucGxkpR,"Shireg Shireg","The Gereg","The HU",2019-09-13,347093,0,false,yuf8m40bafql87jwxb236yybx,2020-03-22T14:48:32Z,"folk metal","Eleven Seven Music",0.548,0.535,8,-9.669,1,0.0255,0.0106,0.612,0.111,0.236,86.992,4
spotify:track:6BAAkpZMcndxE7jlFdjBY1,"The Gereg","The Gereg","The HU",2019-09-13,294683,0,false,yuf8m40bafql87jwxb236yybx,2020-03-22T14:48:35Z,"folk metal","Eleven Seven Music",0.638,0.616,8,-10.352,1,0.0291,0.0237,0.772,0.128,0.156,116.017,4
spotify:track:2foT3XJe8na45IRPNq2NJL,"The Same","The Gereg","The HU",2019-09-13,327341,0,false,yuf8m40bafql87jwxb236yybx,2020-03-22T14:48:40Z,"folk metal","Eleven Seven Music",0.42,0.6,8,-9.797,1,0.0387,0.0821,0.76,0.101,0.115,143.978,4
spotify:track:4Pszllm4KI1mu6esQhO8dK,"Song of Women (feat. Lzzy Hale of Halestorm)","Song of Women (feat. Lzzy Hale of Halestorm)","The HU;Lzzy Hale;Halestorm",2020-05-01,349270,0,false,yuf8m40bafql87jwxb236yybx,2020-05-03T17:29:48Z,"folk metal","Better Noise Music",0.353,0.902,8,-2.776,1,0.0504,0.0039,0.00000343,0.114,0.256,162.015,3
spotify:track:4hArxLcGoeEMYHzqfgffT4,"Sugaan Essena - Original Music from ""Star Wars Jedi: Fallen Order""","Sugaan Essena (Original Music from ""Star Wars Jedi: Fallen Order"")","The HU",2020-06-12,396359,51,false,yuf8m40bafql87jwxb236yybx,2020-07-11T23:48:47Z,"folk metal","Walt Disney Records",0.36,0.899,10,-4.862,0,0.098,0.00284,0.0279,0.103,0.266,157.875,4
spotify:track:1e3ZQKsMOUDJlYMOhwv7FH,"Yuve Yuve Yu (Acoustic)","The Gereg (Deluxe Edition)","The HU",2020-07-10,283000,0,false,yuf8m40bafql87jwxb236yybx,2020-07-12T01:14:54Z,"folk metal","Better Noise Music",0.544,0.755,10,-7.3,0,0.0534,0.185,0.841,0.112,0.413,132.008,4
spotify:track:1JGcnSkHRNF2oaBpaiafhP,"Shoog Shoog (Acoustic)","The Gereg (Deluxe Edition)","The HU",2020-07-10,231179,0,false,yuf8m40bafql87jwxb236yybx,2020-09-06T21:41:45Z,"folk metal","Better Noise Music",0.604,0.741,1,-6.113,1,0.0683,0.0134,0.859,0.439,0.413,125.029,4
spotify:track:0qHiT9yx4C2Qgj5rufKZqb,"Shireg Shireg (Acoustic)","The Gereg (Deluxe Edition)","The HU",2020-07-10,347529,0,false,yuf8m40bafql87jwxb236yybx,2020-09-06T21:41:51Z,"folk metal","Better Noise Music",0.398,0.537,8,-7.406,1,0.0282,0.212,0.554,0.103,0.0713,86.997,4
spotify:track:48iUr7K2jRxpNIDcSftKZY,"Sad But True","Sad But True","The HU",2020-12-04,332851,0,false,yuf8m40bafql87jwxb236yybx,2020-12-09T14:24:46Z,"folk metal","Better Noise Music",0.39,0.893,1,-5.153,1,0.0862,0.0028,0.0256,0.191,0.219,178.08,4
spotify:track:1uUqY19biO5yj5L1ryMMcG,"Through the Never","Through the Never","The HU",2021-09-10,246773,29,false,yuf8m40bafql87jwxb236yybx,2021-09-10T20:16:01Z,"folk metal","Blackened Recordings",0.475,0.905,1,-7.231,1,0.0833,0.000774,0.271,0.0926,0.355,94.163,4
spotify:track:3cX0XeN0p3QKxtLu0MxNNy,"Black Thunder","Black Thunder","The HU",2022-07-08,255000,40,false,yuf8m40bafql87jwxb236yybx,2022-07-08T22:58:39Z,"folk metal","Better Noise Music",0.372,0.789,8,-6.976,1,0.0412,0.00127,0.733,0.643,0.223,157.283,4
spotify:track:1Mfo1Yz6NQPoTDIJRwGmjD,"Black Thunder - Extended","Black Thunder","The HU",2022-07-08,539143,18,false,yuf8m40bafql87jwxb236yybx,2022-07-08T22:58:47Z,"folk metal","Better Noise Music",0.294,0.717,8,-8.898,1,0.0477,0.00108,0.793,0.115,0.13,158.069,4
